region,date,t,rate,rate_hat,cum,cum_hat_fit,cum_hat_pred,error,mse,quality,drift,Historic,Forecast
Predict,2013-01-01T00:00:00Z,1371,29.387096774193548,26.166818546061812,76004,72479.71512350223,72659.31207871588,-3344.687921284116,3429596.3727688105,0.98824481103478,0.9787693294553952,,
Predict,2013-02-01T00:00:00Z,1402,30,25.797003896250622,76934,73285.12037595846,73464.71733117211,-3469.2826688278874,3773849.40730724,0.987668940531386,0.9779784544622884,,
Predict,2013-03-01T00:00:00Z,1430,30,25.473995273026247,77774,74002.89062298695,74182.4875782006,-3591.5124217994016,4124815.256100785,0.98710829496469,0.9772025914588752,,
Predict,2013-04-01T00:00:00Z,1461,25.419354838709676,25.127935152079885,78562,74787.18997504006,74966.78693025371,-3595.2130697462853,4450768.654647959,0.9866086111915052,0.9771791013039756,,
Predict,2013-05-01T00:00:00Z,1491,25.4,24.804011533049216,79324,75536.14290780864,75715.73986302229,-3608.2601369777112,4756796.246128476,0.9861558790844698,0.9770962840150438,,
Predict,2013-06-01T00:00:00Z,1522,23.774193548387096,24.48004348361294,80061,76300.01825310185,76479.6152083155,-3581.384791684497,5035055.583369184,0.9857567123934377,0.9772668773903068,,
Predict,2013-07-01T00:00:00Z,1552,7.733333333333333,24.176410120257692,80293,77029.84137231663,77209.43832753028,-3083.5616724697175,5184165.483521019,0.985547348275208,0.980426848927944,,
Predict,2013-08-01T00:00:00Z,1583,6.451612903225806,23.87236095580245,80493,77774.57247219697,77954.16942741063,-2538.8305725893733,5224858.876836937,0.9854907357099,0.9838845725748544,,
Predict,2013-09-01T00:00:00Z,1614,46.645161290322584,23.57769439919843,81939,78510.02469401459,78689.62164922824,-3249.37835077176,5391533.90151279,0.9852611269079328,0.9793743144760958,,
Predict,2013-10-01T00:00:00Z,1644,46.333333333333336,23.30103806496523,83329,79213.1852721919,79392.78222740555,-3936.21777259445,5697663.490960536,0.9848484694038842,0.9750145470404046,,
Predict,2013-11-01T00:00:00Z,1675,42.38709677419355,23.02353404556128,84643,79931.19466756337,80110.79162277702,-4532.208377222982,6134229.646360819,0.9842787119689432,0.971231449641682,,
Predict,2013-12-01T00:00:00Z,1705,42.3,22.762714504027667,85912,80617.96982388524,80797.5667790989,-5114.4332209011045,6706321.004209276,0.9835619507244228,0.9675357314969923,,
Predict,2014-01-01T00:00:00Z,1736,46.67741935483871,22.500827705273597,87359,81319.53515632692,81499.13211154057,-5859.8678884594265,7473869.078264518,0.9826467488534396,0.9628040261146312,,
Predict,2014-02-01T00:00:00Z,1767,39.903225806451616,22.24634574675251,88596,82013.09765090898,82192.69460612263,-6403.305393877366,8380043.426615718,0.9816248351560526,0.959354513660662,,
Predict,2014-03-01T00:00:00Z,1795,35.285714285714285,22.02258128654777,89584,82632.84943370937,82812.44638892302,-6771.553611076975,9366198.555065032,0.9805737135052182,0.957017029039675,,
Predict,2014-04-01T00:00:00Z,1826,33.61290322580645,21.781298853754265,90626,83311.7924090261,83491.38936423975,-7134.610635760255,10431236.256830117,0.979498954941788,0.9547124959228764,,
Predict,2014-05-01T00:00:00Z,1856,26.6,21.553993364467125,91424,83961.80688875641,84141.40384397007,-7282.596156029933,11496360.519704912,0.9784777190409654,0.9537731461538818,,
Predict,2014-06-01T00:00:00Z,1887,29.967741935483872,21.32524234980111,92353,84626.41927961644,84806.0162348301,-7546.983765169905,12605155.72536426,0.9774637206720956,0.9520949249392784,,
Predict,2014-07-01T00:00:00Z,1917,34.1,21.109561217744613,93376,85262.92763019977,85442.52458541343,-7933.475414586574,13803605.16413772,0.9764167109823736,0.9496416386925136,,
Predict,2014-08-01T00:00:00Z,1948,29.225806451612904,20.892331777115263,94282,85913.94245985264,86093.53941506629,-8188.460584933709,15041914.038251098,0.9753816092613422,0.9480231002001926,,
Predict,2014-09-01T00:00:00Z,1979,23.387096774193548,20.680605956771032,95007,86558.30906672974,86737.90602194339,-8269.093978056611,16254095.883243848,0.97440886676415,0.947511273373722,,
Predict,2014-10-01T00:00:00Z,2009,29.233333333333334,20.48074309862002,95884,87175.71717186247,87355.31412707613,-8528.685872923874,17509304.479594234,0.9734391140680784,0.9458634933339444,,
Predict,2014-11-01T00:00:00Z,2040,28,20.279216514027546,96752,87807.48367573739,87987.08063095104,-8764.919369048963,18798750.285384133,0.972478468428436,0.9443639825736382,,
Predict,2014-12-01T00:00:00Z,2070,28.866666666666667,20.090595677595065,97618,88412.99658709536,88592.59354230901,-9025.406457690988,20131924.99689788,0.971519293318208,0.9427105202207264,,
Predict,2015-01-01T00:00:00Z,2101,27.677419354838708,19.911618418400757,98476,89033.02676821256,89212.62372342621,-9263.376276573792,21500221.143658135,0.9705673359935116,0.941199988014684,,
Predict,2015-02-01T00:00:00Z,2132,27.258064516129032,19.734235579791218,99321,89647.5334046716,89827.13035988525,-9493.869640114746,22900901.543654755,0.9696237331713932,0.9397369131989696,,
Predict,2015-03-01T00:00:00Z,2160,27.142857142857142,19.57537744355118,100081,90197.86499108792,90377.46194630158,-9703.538053698416,24326056.527973127,0.968692818932409,0.938406026396623,,
Predict,2015-04-01T00:00:00Z,2191,25.967741935483872,19.400990010805813,100886,90801.99465536156,90981.5916105752,-9904.408389424789,25772551.60672871,0.96777545320289,0.9371309860878236,,
